m,n,rounding,overflow,acc,total_bits,format
2.0,6.0,nearest,saturate,98.58,9.0,TI
2.0,6.0,nearest,wrap,98.49,9.0,TI
2.0,6.0,ceil,saturate,97.56,9.0,TI
2.0,6.0,ceil,wrap,97.53,9.0,TI
2.0,6.0,floor,saturate,97.62,9.0,TI
2.0,6.0,floor,wrap,97.63,9.0,TI
2.0,6.0,trunc,saturate,98.55,9.0,TI
2.0,6.0,trunc,wrap,98.58,9.0,TI
2.0,6.0,stochastic,saturate,98.42,9.0,TI
2.0,6.0,stochastic,wrap,98.55,9.0,TI
2.0,7.0,nearest,saturate,98.47,10.0,TI
2.0,7.0,nearest,wrap,98.53,10.0,TI
2.0,7.0,ceil,saturate,98.39,10.0,TI
2.0,7.0,ceil,wrap,98.29,10.0,TI
2.0,7.0,floor,saturate,98.46,10.0,TI
2.0,7.0,floor,wrap,98.5,10.0,TI
2.0,7.0,trunc,saturate,98.51,10.0,TI
2.0,7.0,trunc,wrap,98.52,10.0,TI
2.0,7.0,stochastic,saturate,98.58,10.0,TI
2.0,7.0,stochastic,wrap,98.6,10.0,TI
2.0,8.0,nearest,saturate,98.45,11.0,TI
2.0,8.0,nearest,wrap,98.49,11.0,TI
2.0,8.0,ceil,saturate,98.42,11.0,TI
2.0,8.0,ceil,wrap,98.46,11.0,TI
2.0,8.0,floor,saturate,98.56,11.0,TI
2.0,8.0,floor,wrap,98.56,11.0,TI
2.0,8.0,trunc,saturate,98.5,11.0,TI
2.0,8.0,trunc,wrap,98.53,11.0,TI
2.0,8.0,stochastic,saturate,98.53,11.0,TI
2.0,8.0,stochastic,wrap,98.55,11.0,TI
