experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,3,0,ceil,saturate,98.23,4
mem_only,,,3,0,ceil,wrap,75.78,4
mem_only,,,3,0,trunc,saturate,98.34,4
mem_only,,,3,0,trunc,wrap,80.41,4
mem_only,,,3,1,nearest,saturate,98.51,5
mem_only,,,3,1,nearest,wrap,68.33,5
mem_only,,,3,1,stochastic,saturate,98.69,5
mem_only,,,3,1,stochastic,wrap,62.53,5
mem_only,,,3,1,floor,saturate,98.4,5
mem_only,,,3,1,floor,wrap,60.6,5
mem_only,,,3,1,ceil,saturate,98.58,5
mem_only,,,3,1,ceil,wrap,73.05,5
mem_only,,,3,1,trunc,saturate,98.42,5
mem_only,,,3,1,trunc,wrap,71.9,5
mem_only,,,3,2,nearest,saturate,98.54,6
mem_only,,,3,2,nearest,wrap,65.77,6
mem_only,,,3,2,stochastic,saturate,98.55,6
mem_only,,,3,2,stochastic,wrap,63.01,6
mem_only,,,3,2,floor,saturate,98.58,6
mem_only,,,3,2,floor,wrap,63.07,6
mem_only,,,3,2,ceil,saturate,98.55,6
mem_only,,,3,2,ceil,wrap,68.32,6
mem_only,,,3,2,trunc,saturate,98.56,6
mem_only,,,3,2,trunc,wrap,68.36,6
mem_only,,,3,3,nearest,saturate,98.51,7
mem_only,,,3,3,nearest,wrap,64.07,7
mem_only,,,3,3,stochastic,saturate,98.5,7
mem_only,,,3,3,stochastic,wrap,62.97,7
mem_only,,,3,3,floor,saturate,98.59,7
mem_only,,,3,3,floor,wrap,62.89,7
mem_only,,,3,3,ceil,saturate,98.63,7
mem_only,,,3,3,ceil,wrap,65.58,7
mem_only,,,3,3,trunc,saturate,98.54,7
mem_only,,,3,3,trunc,wrap,66.25,7
mem_only,,,4,0,nearest,saturate,98.53,5
mem_only,,,4,0,nearest,wrap,98.49,5
mem_only,,,4,0,stochastic,saturate,98.45,5
mem_only,,,4,0,stochastic,wrap,98.49,5
mem_only,,,4,0,floor,saturate,98.38,5
mem_only,,,4,0,floor,wrap,98.38,5
mem_only,,,4,0,ceil,saturate,98.19,5
mem_only,,,4,0,ceil,wrap,98.21,5
mem_only,,,4,0,trunc,saturate,98.34,5
mem_only,,,4,0,trunc,wrap,98.3,5
mem_only,,,4,1,nearest,saturate,98.58,6
mem_only,,,4,1,nearest,wrap,98.58,6
mem_only,,,4,1,stochastic,saturate,98.55,6
mem_only,,,4,1,stochastic,wrap,98.55,6
mem_only,,,4,1,floor,saturate,98.39,6
mem_only,,,4,1,floor,wrap,98.33,6
mem_only,,,4,1,ceil,saturate,98.46,6
mem_only,,,4,1,ceil,wrap,98.47,6
mem_only,,,4,1,trunc,saturate,98.46,6
mem_only,,,4,1,trunc,wrap,98.4,6
mem_only,,,4,2,nearest,saturate,98.53,7
mem_only,,,4,2,nearest,wrap,98.61,7
mem_only,,,4,2,stochastic,saturate,98.58,7
mem_only,,,4,2,stochastic,wrap,98.51,7
mem_only,,,4,2,floor,saturate,98.54,7
mem_only,,,4,2,floor,wrap,98.51,7
mem_only,,,4,2,ceil,saturate,98.52,7
mem_only,,,4,2,ceil,wrap,98.49,7
mem_only,,,4,2,trunc,saturate,98.68,7
mem_only,,,4,2,trunc,wrap,98.63,7
mem_only,,,4,3,nearest,saturate,98.52,8
mem_only,,,4,3,nearest,wrap,98.51,8
mem_only,,,4,3,stochastic,saturate,98.6,8
mem_only,,,4,3,stochastic,wrap,98.5,8
mem_only,,,4,3,floor,saturate,98.52,8
mem_only,,,4,3,floor,wrap,98.52,8
mem_only,,,4,3,ceil,saturate,98.45,8
mem_only,,,4,3,ceil,wrap,98.54,8
mem_only,,,4,3,trunc,saturate,98.55,8
mem_only,,,4,3,trunc,wrap,98.52,8
