experiment,weight_m,weight_n,mem_m,mem_n,rounding,overflow,acc,total_bits
mem_only,,,3.0,5.0,stochastic,saturate,98.48,9
mem_only,,,3.0,5.0,stochastic,wrap,62.91,9
mem_only,,,3.0,5.0,floor,saturate,98.54,9
mem_only,,,3.0,5.0,floor,wrap,62.59,9
mem_only,,,3.0,5.0,ceil,saturate,98.5,9
mem_only,,,3.0,5.0,ceil,wrap,63.38,9
mem_only,,,3.0,5.0,trunc,saturate,98.51,9
mem_only,,,3.0,5.0,trunc,wrap,63.27,9
mem_only,,,3.0,6.0,nearest,saturate,98.56,10
mem_only,,,3.0,6.0,nearest,wrap,62.94,10
mem_only,,,3.0,6.0,stochastic,saturate,98.57,10
mem_only,,,3.0,6.0,stochastic,wrap,62.57,10
mem_only,,,3.0,6.0,floor,saturate,98.56,10
mem_only,,,3.0,6.0,floor,wrap,62.85,10
mem_only,,,3.0,6.0,ceil,saturate,98.52,10
mem_only,,,3.0,6.0,ceil,wrap,62.88,10
mem_only,,,3.0,6.0,trunc,saturate,98.48,10
mem_only,,,3.0,6.0,trunc,wrap,62.96,10
mem_only,,,3.0,7.0,nearest,saturate,98.45,11
mem_only,,,3.0,7.0,nearest,wrap,62.68,11
mem_only,,,3.0,7.0,stochastic,saturate,98.51,11
mem_only,,,3.0,7.0,stochastic,wrap,62.85,11
mem_only,,,3.0,7.0,floor,saturate,98.56,11
mem_only,,,3.0,7.0,floor,wrap,63.0,11
mem_only,,,3.0,7.0,ceil,saturate,98.55,11
mem_only,,,3.0,7.0,ceil,wrap,63.25,11
mem_only,,,3.0,7.0,trunc,saturate,98.49,11
mem_only,,,3.0,7.0,trunc,wrap,62.89,11
mem_only,,,3.0,8.0,nearest,saturate,98.51,12
mem_only,,,3.0,8.0,nearest,wrap,62.76,12
mem_only,,,3.0,8.0,stochastic,saturate,98.5,12
mem_only,,,3.0,8.0,stochastic,wrap,62.38,12
mem_only,,,3.0,8.0,floor,saturate,98.55,12
mem_only,,,3.0,8.0,floor,wrap,62.56,12
mem_only,,,3.0,8.0,ceil,saturate,98.57,12
mem_only,,,3.0,8.0,ceil,wrap,62.7,12
mem_only,,,3.0,8.0,trunc,saturate,98.51,12
mem_only,,,3.0,8.0,trunc,wrap,62.86,12
mem_only,,,4.0,0.0,nearest,saturate,98.54,5
mem_only,,,4.0,0.0,nearest,wrap,98.51,5
mem_only,,,4.0,0.0,stochastic,saturate,98.53,5
mem_only,,,4.0,0.0,stochastic,wrap,98.58,5
mem_only,,,4.0,0.0,floor,saturate,98.38,5
mem_only,,,4.0,0.0,floor,wrap,98.28,5
mem_only,,,4.0,0.0,ceil,saturate,98.18,5
mem_only,,,4.0,0.0,ceil,wrap,98.2,5
mem_only,,,4.0,0.0,trunc,saturate,98.37,5
mem_only,,,4.0,0.0,trunc,wrap,98.29,5
mem_only,,,4.0,1.0,nearest,saturate,98.56,6
mem_only,,,4.0,1.0,nearest,wrap,98.5,6
mem_only,,,4.0,1.0,stochastic,saturate,98.57,6
mem_only,,,4.0,1.0,stochastic,wrap,98.51,6
mem_only,,,4.0,1.0,floor,saturate,98.4,6
mem_only,,,4.0,1.0,floor,wrap,98.41,6
mem_only,,,4.0,1.0,ceil,saturate,98.54,6
mem_only,,,4.0,1.0,ceil,wrap,98.49,6
mem_only,,,4.0,1.0,trunc,saturate,98.35,6
mem_only,,,4.0,1.0,trunc,wrap,98.33,6
mem_only,,,4.0,2.0,nearest,saturate,98.57,7
mem_only,,,4.0,2.0,nearest,wrap,98.49,7
mem_only,,,4.0,2.0,stochastic,saturate,98.6,7
mem_only,,,4.0,2.0,stochastic,wrap,98.56,7
mem_only,,,4.0,2.0,floor,saturate,98.56,7
mem_only,,,4.0,2.0,floor,wrap,98.53,7
mem_only,,,4.0,2.0,ceil,saturate,98.46,7
mem_only,,,4.0,2.0,ceil,wrap,98.47,7
mem_only,,,4.0,2.0,trunc,saturate,98.54,7
mem_only,,,4.0,2.0,trunc,wrap,98.56,7
mem_only,,,4.0,3.0,nearest,saturate,98.53,8
mem_only,,,4.0,3.0,nearest,wrap,98.56,8
mem_only,,,4.0,3.0,stochastic,saturate,98.51,8
mem_only,,,4.0,3.0,stochastic,wrap,98.42,8
mem_only,,,4.0,3.0,floor,saturate,98.54,8
mem_only,,,4.0,3.0,floor,wrap,98.56,8
mem_only,,,4.0,3.0,ceil,saturate,98.5,8
mem_only,,,4.0,3.0,ceil,wrap,98.51,8
mem_only,,,4.0,3.0,trunc,saturate,98.46,8
mem_only,,,4.0,3.0,trunc,wrap,98.53,8
mem_only,,,4.0,4.0,nearest,saturate,98.53,9
mem_only,,,4.0,4.0,nearest,wrap,98.53,9
mem_only,,,4.0,4.0,stochastic,saturate,98.49,9
mem_only,,,4.0,4.0,stochastic,wrap,98.56,9
mem_only,,,4.0,4.0,floor,saturate,98.54,9
mem_only,,,4.0,4.0,floor,wrap,98.55,9
mem_only,,,4.0,4.0,ceil,saturate,98.47,9
mem_only,,,4.0,4.0,ceil,wrap,98.55,9
mem_only,,,4.0,4.0,trunc,saturate,98.57,9
mem_only,,,4.0,4.0,trunc,wrap,98.49,9
mem_only,,,4.0,5.0,nearest,saturate,98.52,10
mem_only,,,4.0,5.0,nearest,wrap,98.57,10
mem_only,,,4.0,5.0,stochastic,saturate,98.52,10
mem_only,,,4.0,5.0,stochastic,wrap,98.49,10
mem_only,,,4.0,5.0,floor,saturate,98.51,10
mem_only,,,4.0,5.0,floor,wrap,98.42,10
mem_only,,,4.0,5.0,ceil,saturate,98.51,10
mem_only,,,4.0,5.0,ceil,wrap,98.47,10
mem_only,,,4.0,5.0,trunc,saturate,98.54,10
mem_only,,,4.0,5.0,trunc,wrap,98.45,10
mem_only,,,4.0,6.0,nearest,saturate,98.52,11
mem_only,,,4.0,6.0,nearest,wrap,98.5,11
mem_only,,,4.0,6.0,stochastic,saturate,98.57,11
mem_only,,,4.0,6.0,stochastic,wrap,98.49,11
mem_only,,,4.0,6.0,floor,saturate,98.55,11
mem_only,,,4.0,6.0,floor,wrap,98.48,11
mem_only,,,4.0,6.0,ceil,saturate,98.51,11
mem_only,,,4.0,6.0,ceil,wrap,98.49,11
mem_only,,,4.0,6.0,trunc,saturate,98.55,11
mem_only,,,4.0,6.0,trunc,wrap,98.44,11
mem_only,,,4.0,7.0,nearest,saturate,98.46,12
mem_only,,,4.0,7.0,nearest,wrap,98.51,12
mem_only,,,4.0,7.0,stochastic,saturate,98.48,12
mem_only,,,4.0,7.0,stochastic,wrap,98.55,12
mem_only,,,4.0,7.0,floor,saturate,98.59,12
mem_only,,,4.0,7.0,floor,wrap,98.54,12
mem_only,,,4.0,7.0,ceil,saturate,98.53,12
mem_only,,,4.0,7.0,ceil,wrap,98.46,12
mem_only,,,4.0,7.0,trunc,saturate,98.53,12
mem_only,,,4.0,7.0,trunc,wrap,98.55,12
mem_only,,,4.0,8.0,nearest,saturate,98.56,13
mem_only,,,4.0,8.0,nearest,wrap,98.48,13
mem_only,,,4.0,8.0,stochastic,saturate,98.51,13
mem_only,,,4.0,8.0,stochastic,wrap,98.51,13
mem_only,,,4.0,8.0,floor,saturate,98.42,13
mem_only,,,4.0,8.0,floor,wrap,98.52,13
mem_only,,,4.0,8.0,ceil,saturate,98.58,13
mem_only,,,4.0,8.0,ceil,wrap,98.55,13
mem_only,,,4.0,8.0,trunc,saturate,98.53,13
mem_only,,,4.0,8.0,trunc,wrap,98.62,13
mem_only,,,5.0,0.0,nearest,saturate,98.55,6
mem_only,,,5.0,0.0,nearest,wrap,98.49,6
mem_only,,,5.0,0.0,stochastic,saturate,98.43,6
mem_only,,,5.0,0.0,stochastic,wrap,98.58,6
mem_only,,,5.0,0.0,floor,saturate,98.32,6
mem_only,,,5.0,0.0,floor,wrap,98.38,6
mem_only,,,5.0,0.0,ceil,saturate,98.24,6
mem_only,,,5.0,0.0,ceil,wrap,98.14,6
mem_only,,,5.0,0.0,trunc,saturate,98.46,6
mem_only,,,5.0,0.0,trunc,wrap,98.48,6
mem_only,,,5.0,1.0,nearest,saturate,98.58,7
mem_only,,,5.0,1.0,nearest,wrap,98.51,7
mem_only,,,5.0,1.0,stochastic,saturate,98.64,7
mem_only,,,5.0,1.0,stochastic,wrap,98.53,7
mem_only,,,5.0,1.0,floor,saturate,98.44,7
mem_only,,,5.0,1.0,floor,wrap,98.41,7
mem_only,,,5.0,1.0,ceil,saturate,98.55,7
mem_only,,,5.0,1.0,ceil,wrap,98.57,7
mem_only,,,5.0,1.0,trunc,saturate,98.53,7
mem_only,,,5.0,1.0,trunc,wrap,98.4,7
mem_only,,,5.0,2.0,nearest,saturate,98.56,8
mem_only,,,5.0,2.0,nearest,wrap,98.5,8
mem_only,,,5.0,2.0,stochastic,saturate,98.56,8
mem_only,,,5.0,2.0,stochastic,wrap,98.6,8
mem_only,,,5.0,2.0,floor,saturate,98.58,8
mem_only,,,5.0,2.0,floor,wrap,98.58,8
mem_only,,,5.0,2.0,ceil,saturate,98.5,8
